# BEAST v1.8.4
# Generated Mon Nov 20 12:52:16 UTC 2023 [seed=1700484736418]
# -working -overwrite -beagle_off temp.xml
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	treeLikelihood	coalescent
24000	-47334.80421059324	-201.44695556621937	-47133.35725502702	0.10836051596210841	2.735148354617604	3.67689870074479	0.2903155506814188	0.20152116817212956	0.25471673111304755	0.25344655003340416	1.0	-47133.35725502702	-197.9674194077942
25000	-47288.53402101584	-200.0441209271657	-47088.48990008867	0.10233943362109052	2.291657233013264	3.67689870074479	0.2903155506814188	0.20152116817212956	0.25471673111304755	0.25344655003340416	1.0	-47088.48990008867	-196.74149520777524
26000	-47291.941269465075	-199.40291795164464	-47092.53835151343	0.09845305244383197	2.670818085824488	3.67689870074479	0.2903155506814188	0.20152116817212956	0.25471673111304755	0.25344655003340416	1.0	-47092.53835151343	-195.94718264596023
27000	-47274.141614068656	-198.83778408836204	-47075.303829980294	0.10061699756384482	2.601631671591314	3.67689870074479	0.29237307223669085	0.1994636466168575	0.25471673111304755	0.25344655003340416	1.0	-47075.303829980294	-195.40829479315744
28000	-47284.7478045166	-200.2206964247777	-47084.527108091825	0.09839821527841512	3.072809182543426	3.67689870074479	0.29237307223669085	0.1994636466168575	0.25471673111304755	0.25344655003340416	1.0	-47084.527108091825	-196.62475375738393
29000	-47293.26317542394	-199.9263783865341	-47093.33679703741	0.0961219182965744	3.0007661752312087	3.67689870074479	0.29237307223669085	0.20496309196330284	0.25471673111304755	0.24794710468695882	1.0	-47093.33679703741	-196.35416025771147
30000	-47273.29744171383	-200.81279036449376	-47072.48465134934	0.09931944289437276	3.0611393729231615	3.67689870074479	0.29237307223669085	0.20496309196330284	0.25471673111304755	0.24794710468695882	1.0	-47072.48465134934	-197.2206526927221
31000	-47252.81291582479	-203.14186218211992	-47049.67105364267	0.105605579719744	3.411295151499105	3.6073345321601145	0.29925746494706856	0.20496309196330284	0.24783233840266986	0.24794710468695882	1.0	-47049.67105364267	-199.46409603424485
32000	-47250.25840972008	-201.86086396397218	-47048.39754575611	0.1005909182069298	2.4158995856386007	3.6073345321601145	0.29925746494706856	0.20496309196330284	0.24783233840266986	0.24794710468695882	1.0	-47048.39754575611	-198.52811812813366
33000	-47168.761414228706	-201.9761135529834	-46966.78530067572	0.09921761067733811	2.160153715855656	3.6073345321601145	0.29925746494706856	0.20496309196330284	0.24783233840266986	0.24794710468695882	1.0	-46966.78530067572	-198.75526005020606
34000	-47148.98907265007	-199.81875502998454	-46949.17031762008	0.1081611009357016	2.8870156914335214	3.6073345321601145	0.29925746494706856	0.20496309196330284	0.24783233840266986	0.24794710468695882	1.0	-46949.17031762008	-196.3078575752493
35000	-47110.61706719629	-196.5596946174075	-46914.057372578885	0.10381035494112201	2.720089708824562	3.6073345321601145	0.30528943017750587	0.20179864006883352	0.24783233840266986	0.2450795913509908	1.0	-46914.057372578885	-193.1083556375926
36000	-47100.10980076289	-198.9882237993889	-46901.1215769635	0.10865209325763131	2.871854666847036	3.6073345321601145	0.30528943017750587	0.20179864006883352	0.24783233840266986	0.2450795913509908	1.0	-46901.1215769635	-195.48259163408346
37000	-47082.50002438851	-199.19834578110795	-46883.3016786074	0.10509870468974367	2.690122020541211	3.6073345321601145	0.30528943017750587	0.20179864006883352	0.24783233840266986	0.2450795913509908	1.0	-46883.3016786074	-195.75808510886162
38000	-47086.31197167301	-196.88125707336147	-46889.43071459964	0.11423028646375825	2.763955873593292	3.6073345321601145	0.30528943017750587	0.20487178638875972	0.24132097045102668	0.24851781298270778	1.0	-46889.43071459964	-193.4139200134094
39000	-47041.916375377405	-198.8157236488994	-46843.100651728506	0.11154906128133389	3.004969028920325	3.6073345321601145	0.30528943017750587	0.20487178638875972	0.24132097045102668	0.24851781298270778	1.0	-46843.100651728506	-195.26478226861568
40000	-47015.996066224376	-202.4778053577355	-46813.518260866644	0.11080991529235158	2.1221313358780316	3.6073345321601145	0.30528943017750587	0.20487178638875972	0.24132097045102668	0.24851781298270778	1.0	-46813.518260866644	-199.27471030809687
41000	-46996.82687511676	-195.6479357855519	-46801.178939331214	0.10415220101406071	2.7711670090765828	3.6073345321601145	0.3075293037733737	0.20487178638875972	0.23908109685515885	0.24851781298270778	1.0	-46801.178939331214	-192.17799313229472
42000	-46990.13109704361	-198.16501369832227	-46791.96608334529	0.10419963113069967	2.7634588598404086	3.6073345321601145	0.3075293037733737	0.20487178638875972	0.23908109685515885	0.24851781298270778	1.0	-46791.96608334529	-194.69785647425306
43000	-46972.69470428863	-199.6133211300508	-46773.081383158584	0.10548200126181155	2.456993817842832	3.6073345321601145	0.3075536962198295	0.19875371276324516	0.23905670440870305	0.25463588660822234	1.0	-46773.081383158584	-196.26370843379004
44000	-46984.28495467237	-198.06795193160514	-46786.21700274076	0.10783297857932729	2.6651475045931896	3.6073345321601145	0.3075536962198295	0.20634919539330931	0.23905670440870305	0.24704040397815819	1.0	-46786.21700274076	-194.6370184078382
45000	-46970.02153853392	-200.65075220502584	-46769.370786328895	0.11355255921833572	2.343917574563395	3.6073345321601145	0.3075536962198295	0.20634919539330931	0.23905670440870305	0.24704040397815819	1.0	-46769.370786328895	-197.3482543794994
46000	-46955.48726384486	-196.13343850412144	-46759.35382534074	0.1041795572226122	2.325823206601395	3.6073345321601145	0.3075536962198295	0.1998500992361813	0.23905670440870305	0.2535395001352862	1.0	-46759.35382534074	-192.83869034152838
47000	-46952.76156446502	-196.0579132360543	-46756.70365122897	0.09848922810251311	2.4496276655428226	3.6073345321601145	0.3075536962198295	0.1998500992361813	0.23905670440870305	0.2535395001352862	1.0	-46756.70365122897	-192.71130307742925
48000	-46926.90381817081	-196.84115710059763	-46730.06266107021	0.10673585182640265	2.4154126348018603	3.6073345321601145	0.3191479822907629	0.19403530960847862	0.23612994478006213	0.2506867633206964	1.0	-46730.06266107021	-193.5086128459512
49000	-46909.55130214714	-198.25094968132484	-46711.30035246582	0.10797295889352582	2.7368180939494167	3.6073345321601145	0.32438586391519647	0.19403530960847862	0.23089206315562857	0.2506867633206964	1.0	-46711.30035246582	-194.7934795964476
50000	-46889.28620273062	-199.39680027365537	-46689.88940245696	0.10976155897847878	2.705747521240762	3.6073345321601145	0.32438586391519647	0.19793348938318292	0.23089206315562857	0.2467885835459921	1.0	-46689.88940245696	-195.95074793270533
51000	-46890.382526007634	-197.20469681633108	-46693.1778291913	0.10757327034834341	2.82231136831811	3.4459287137132875	0.32438586391519647	0.19793348938318292	0.23089206315562857	0.2467885835459921	1.0	-46693.1778291913	-193.76986166255222
52000	-46877.30761127356	-196.48196953160894	-46680.82564174195	0.09968405356525911	2.712826498049729	3.4459287137132875	0.33180895799364973	0.19793348938318292	0.22346896907717534	0.2467885835459921	1.0	-46680.82564174195	-193.08669948165127
53000	-46869.165456000635	-196.68607381733543	-46672.4793821833	0.09660853558877383	2.7147200121502717	3.4459287137132875	0.33180895799364973	0.19609744789286443	0.23037433400076043	0.2417192601127255	1.0	-46672.4793821833	-193.29010602515712
54000	-46855.89712138848	-197.58485232425798	-46658.31226906422	0.10086592255051484	2.935914518253992	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23037433400076043	0.2400473373670489	1.0	-46658.31226906422	-194.11055435857554
55000	-46858.1346693245	-199.74584102616012	-46658.38882829834	0.09980308735622634	3.2699638353491367	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23037433400076043	0.2400473373670489	1.0	-46658.38882829834	-196.16378313044825
56000	-46802.751685256924	-198.14499159465058	-46604.606693662274	0.10396996626896077	2.5164953256399922	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23960271892386964	0.23081895244393968	1.0	-46604.606693662274	-194.8248454345125
57000	-46790.87771722748	-198.73548837578744	-46592.14222885169	0.1075464368421461	2.718624829284772	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23960271892386964	0.23081895244393968	1.0	-46592.14222885169	-195.33808323040563
58000	-46787.33263215824	-198.48755734422252	-46588.84507481402	0.09995933630762438	2.7228402802043106	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23960271892386964	0.23081895244393968	1.0	-46588.84507481402	-195.08860281768028
59000	-46794.19339981473	-198.33956686726867	-46595.85383294746	0.10660798034409684	2.6388230113614752	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23960271892386964	0.23081895244393968	1.0	-46595.85383294746	-194.97195490816136
60000	-46773.54174619579	-198.63833194800196	-46574.90341424779	0.10348734951996907	2.8865590876474436	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23531791249949585	0.23510375886831347	1.0	-46574.90341424779	-195.1809878119587
61000	-46774.44854482573	-198.33035490077822	-46576.11818992496	0.10038373775429953	2.6965368612846987	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23865617688353147	0.23176549448427786	1.0	-46576.11818992496	-194.94110762463828
62000	-46770.20817463543	-197.79107168050714	-46572.417102954925	0.10083820989603791	2.917808995175827	3.4459287137132875	0.33180895799364973	0.19776937063854103	0.23865617688353147	0.23176549448427786	1.0	-46572.417102954925	-194.32295971960374
63000	-46763.22542480877	-199.3867679918793	-46563.83865681689	0.10186699832346793	2.9112799294897442	3.4459287137132875	0.3414206223174537	0.18815770631473708	0.23865617688353147	0.23176549448427786	1.0	-46563.83865681689	-195.92089619869367
64000	-46761.027360644504	-198.45076757600253	-46562.5765930685	0.101112732122342	2.4510689226122	3.4459287137132875	0.3414206223174537	0.18815770631473708	0.23865617688353147	0.23176549448427786	1.0	-46562.5765930685	-195.156964381261
65000	-46751.62016300804	-197.41392894016514	-46554.206234067875	0.10296582349133394	2.497608210670563	3.4459287137132875	0.3414206223174537	0.18815770631473708	0.23865617688353147	0.23176549448427786	1.0	-46554.206234067875	-194.10131641157722
66000	-46755.71038540537	-196.79694583108991	-46558.91343957428	0.10452318150764851	2.644771725822527	3.4459287137132875	0.3414206223174537	0.18815770631473708	0.23865617688353147	0.23176549448427786	1.0	-46558.91343957428	-193.42708210315078
67000	-46749.58914785448	-196.5902401663734	-46552.9989076881	0.10500126208795181	2.8790732423242886	3.4459287137132875	0.3414206223174537	0.18815770631473708	0.23865617688353147	0.23176549448427786	1.0	-46552.9989076881	-193.13549274448084
68000	-46757.91471979687	-195.03467015264246	-46562.88004964423	0.10527649669696812	2.7319979749949397	3.4459287137132875	0.3476341500301123	0.18194417860207848	0.23865617688353147	0.23176549448427786	1.0	-46562.88004964423	-191.63235798176115
69000	-46756.28942058747	-196.5477739490464	-46559.741646638424	0.10502594815707236	2.711470428818925	3.4459287137132875	0.34458023937923066	0.18194417860207848	0.23450190245764543	0.2389736795610455	1.0	-46559.741646638424	-193.15300389725525
70000	-46757.74150859221	-197.82495215658687	-46559.91655643562	0.10287179460431978	2.4180793379554077	3.4459287137132875	0.34458023937923066	0.18194417860207848	0.23450190245764543	0.2389736795610455	1.0	-46559.91655643562	-194.54469962314647
71000	-46757.70238687689	-197.1478240402768	-46560.55456283661	0.10997820077820088	2.8370405880848204	3.4459287137132875	0.34458023937923066	0.18194417860207848	0.23450190245764543	0.2389736795610455	1.0	-46560.55456283661	-193.70778360747042
72000	-46743.401867615285	-196.43145355550035	-46546.97041405978	0.1047217477075054	2.716812518267394	3.548196334192885	0.34458023937923066	0.18194417860207848	0.23450190245764543	0.2389736795610455	1.0	-46546.97041405978	-193.00075596148025
73000	-46745.31119703572	-198.65809041355584	-46546.653106622165	0.11043451990842086	2.555602391589555	3.548196334192885	0.34458023937923066	0.18194417860207848	0.23450190245764543	0.2389736795610455	1.0	-46546.653106622165	-195.28856417881633
74000	-46729.404358371874	-196.03389355434268	-46533.37046481753	0.10525927241144022	2.5686750330277	3.548196334192885	0.34458023937923066	0.18194417860207848	0.23450190245764543	0.2389736795610455	1.0	-46533.37046481753	-192.65926507055815
75000	-46735.716329064766	-198.36762437431955	-46537.34870469045	0.10272867213140176	2.6772696020404387	3.548196334192885	0.34355267274211093	0.18194417860207848	0.23838004039026237	0.2361231082655483	1.0	-46537.34870469045	-194.95158863516957
76000	-46737.77610111704	-197.7738404465321	-46540.0022606705	0.10437164737247795	2.308517712476915	3.548196334192885	0.33885805629985305	0.18663879504433636	0.23838004039026237	0.2361231082655483	1.0	-46540.0022606705	-194.5059965417046
77000	-46744.01315656741	-199.15443512760507	-46544.85872143981	0.10360309577577233	2.706544208642848	3.548196334192885	0.33885805629985305	0.18663879504433636	0.23838004039026237	0.2361231082655483	1.0	-46544.85872143981	-195.72752423706456
78000	-46736.24462158558	-197.40835322736956	-46538.83626835821	0.10418670541282306	3.0027187112768132	3.548196334192885	0.3481407605780322	0.17735609076615716	0.23838004039026237	0.2361231082655483	1.0	-46538.83626835821	-193.8775968428233
79000	-46749.67234306433	-201.8188428544567	-46547.85350020987	0.10839331143321178	3.133414911638204	3.720396963957338	0.3559580058714558	0.17735609076615716	0.2305627950968388	0.2361231082655483	1.0	-46547.85350020987	-198.18929031967414
80000	-46731.6809288372	-197.98612927122693	-46533.69479956597	0.10206320831846899	2.696333742603724	3.720396963957338	0.3559580058714558	0.17735609076615716	0.2305627950968388	0.2361231082655483	1.0	-46533.69479956597	-194.50680719518706
81000	-46721.19959876528	-196.02746269843135	-46525.172136066845	0.09959750361767852	2.4308004112497845	3.720396963957338	0.3487763807186505	0.1861776721527067	0.2305627950968388	0.2344831520318041	1.0	-46525.172136066845	-192.651813009085
82000	-46718.65248880572	-199.48627108392387	-46519.166217721795	0.10425986892225822	3.042047957506116	3.720396963957338	0.34897770359848374	0.18597634927287346	0.2305627950968388	0.2344831520318041	1.0	-46519.166217721795	-195.88631102620297
83000	-46732.0948346125	-198.9109500801293	-46533.18388453237	0.09975854922522509	2.685914591692898	3.720396963957338	0.34897770359848374	0.18597634927287346	0.2305627950968388	0.2344831520318041	1.0	-46533.18388453237	-195.4354996812321
84000	-46732.60710005999	-198.51504053687538	-46534.092059523115	0.10999788477273677	2.4214368186880644	3.720396963957338	0.35704532449076715	0.18597634927287346	0.2305627950968388	0.22641553113952065	1.0	-46534.092059523115	-195.14325034727773
85000	-46726.986918873095	-198.81343061365436	-46528.17348825944	0.10589248103728087	2.6128879189744474	3.720396963957338	0.35875017911332857	0.18427149465031206	0.2305627950968388	0.22641553113952065	1.0	-46528.17348825944	-195.36554542277008
86000	-46727.590106334865	-198.0761571236928	-46529.51394921117	0.10704613660968801	2.238115498584527	3.720396963957338	0.35703206524295855	0.18427149465031206	0.23228090896720882	0.22641553113952065	1.0	-46529.51394921117	-194.78309380830368
87000	-46631.837117441086	-199.28803981393202	-46432.549077627154	0.10153151108529955	2.5703694255679	3.720396963957338	0.35703206524295855	0.18427149465031206	0.23228090896720882	0.22641553113952065	1.0	-46432.549077627154	-195.85656108111368
88000	-46601.89108464086	-198.43348729683092	-46403.45759734403	0.10208592804710238	2.2727141917941154	3.720396963957338	0.35703206524295855	0.18357137002182453	0.23298103359569636	0.22641553113952065	1.0	-46403.45759734403	-195.12508340150382
89000	-46600.36597135163	-197.73462481304097	-46402.63134653859	0.10146137310193815	2.906243531447286	3.4653653953644756	0.35703206524295855	0.18357137002182453	0.23298103359569636	0.22641553113952065	1.0	-46402.63134653859	-194.2639958851829
90000	-46582.65732166215	-199.14449210193519	-46383.51282956021	0.10379591038031952	2.4376287088807467	3.4653653953644756	0.35703206524295855	0.18357137002182453	0.23298103359569636	0.22641553113952065	1.0	-46383.51282956021	-195.84969881255043
91000	-46582.8745300246	-197.0546318807627	-46385.81989814384	0.10679258900369457	2.614465340512136	3.4653653953644756	0.35088570548503056	0.18357137002182453	0.23912739335362435	0.22641553113952065	1.0	-46385.81989814384	-193.68980469959996
92000	-46573.82073417481	-196.21271994960398	-46377.60801422521	0.10723361987656996	2.4292667057657233	3.5100044090343756	0.35088570548503056	0.18357137002182453	0.23912739335362435	0.22641553113952065	1.0	-46377.60801422521	-192.90652226258203
93000	-46585.42684684751	-197.69128516715648	-46387.735561680354	0.1075652837718755	2.7318556379816257	3.5100044090343756	0.35088570548503056	0.18357137002182453	0.23912739335362435	0.22641553113952065	1.0	-46387.735561680354	-194.26769582560786
94000	-46571.936190085435	-195.38842102554452	-46376.54776905989	0.10357097622701805	2.6712184385998454	3.5100044090343756	0.35088570548503056	0.18357137002182453	0.23912739335362435	0.22641553113952065	1.0	-46376.54776905989	-191.98727807079578
95000	-46551.45935210224	-196.60768189615916	-46354.85167020608	0.10220726763999713	2.923979467212635	3.5100044090343756	0.35088570548503056	0.18357137002182453	0.23912739335362435	0.22641553113952065	1.0	-46354.85167020608	-193.11612813406842
96000	-46560.54663310366	-198.13468062414006	-46362.41195247952	0.09820656915445923	2.7561514037097323	3.5100044090343756	0.35088570548503056	0.18357137002182453	0.23912739335362435	0.22641553113952065	1.0	-46362.41195247952	-194.7022370940786
97000	-46560.986371568884	-199.05953046735442	-46361.92684110153	0.10395751528127364	2.4838991104546144	3.5100044090343756	0.3467471656599934	0.18357137002182453	0.23912739335362435	0.23055407096455782	1.0	-46361.92684110153	-195.73109267748208
98000	-46557.697179512776	-198.44461920496255	-46359.25256030781	0.0995433547107217	2.8224623427388864	3.5100044090343756	0.3554177237777217	0.18357137002182453	0.23045683523589605	0.23055407096455782	1.0	-46359.25256030781	-194.98840128743575
99000	-46544.20096442491	-197.96042146656583	-46346.240542958345	0.10151644211831806	2.4645183530991943	3.5100044090343756	0.3554177237777217	0.18357137002182453	0.23045683523589605	0.23055407096455782	1.0	-46346.240542958345	-194.6398168300584
100000	-46534.694763007414	-196.88939677598398	-46337.80536623143	0.10097190975608936	2.7037753182124873	3.5100044090343756	0.3554177237777217	0.18357137002182453	0.23045683523589605	0.23055407096455782	1.0	-46337.80536623143	-193.4761394712477
101000	-46544.09918986917	-197.0317215209011	-46347.06746834827	0.10034858767278629	2.9984856057955445	3.5100044090343756	0.3554177237777217	0.19136169267674158	0.23045683523589605	0.22276374830964077	1.0	-46347.06746834827	-193.5150059153696
102000	-46530.877422734266	-197.1178729480495	-46333.75954978621	0.10082554297559183	2.7888572516395187	3.5100044090343756	0.3554177237777217	0.19136169267674158	0.23045683523589605	0.22276374830964077	1.0	-46333.75954978621	-193.673632780961
103000	-46535.104808680495	-197.69558952074775	-46337.409219159745	0.1016995783234414	2.6768186796610243	3.5100044090343756	0.3554177237777217	0.19402542092302377	0.23045683523589605	0.22010002006335858	1.0	-46337.409219159745	-194.29235224878158
104000	-46541.61745967683	-198.41191813374923	-46343.20554154308	0.10046509390778131	3.045401866566673	3.5100044090343756	0.3554177237777217	0.19402542092302377	0.23045683523589605	0.22010002006335858	1.0	-46343.20554154308	-194.8796770230265
105000	-46521.990333774964	-195.76001112198256	-46326.230322652984	0.10569709616159867	2.681174030173945	3.5100044090343756	0.3554177237777217	0.19402542092302377	0.23045683523589605	0.22010002006335858	1.0	-46326.230322652984	-192.35514811003947
106000	-46528.72422959665	-196.45943825247926	-46332.26479134417	0.10188063441541205	2.736297292520069	3.5100044090343756	0.3554177237777217	0.19402542092302377	0.23045683523589605	0.22010002006335858	1.0	-46332.26479134417	-193.0342243566902
107000	-46546.62345823164	-196.861428879097	-46349.76202935254	0.1020746669728342	2.7877129257777202	3.5100044090343756	0.3554177237777217	0.19402542092302377	0.23045683523589605	0.22010002006335858	1.0	-46349.76202935254	-193.4175991169138
108000	-46533.98992530376	-197.2846856467738	-46336.705239656985	0.10306424699346801	2.7274581364035444	3.5100044090343756	0.3554177237777217	0.19402542092302377	0.23045683523589605	0.22010002006335858	1.0	-46336.705239656985	-193.86270731448784
109000	-46537.17944919895	-197.2140755228339	-46339.96537367612	0.0970057222095901	2.5102558800996633	3.592758988321967	0.35780325899116905	0.1901755959970266	0.23192112494844586	0.22010002006335858	1.0	-46339.96537367612	-193.84779340473332
110000	-46523.220433004986	-196.99208226676018	-46326.22835073822	0.10222748651364895	2.349400240515879	3.592758988321967	0.3511641084088704	0.1901755959970266	0.23192112494844586	0.22673917064565718	1.0	-46326.22835073822	-193.6920247620892
111000	-46527.05124823693	-197.57554480256925	-46329.475703434364	0.10287732324005866	2.4017255894237284	3.592758988321967	0.3511641084088704	0.1901755959970266	0.23192112494844586	0.22673917064565718	1.0	-46329.475703434364	-194.2534599020856
112000	-46528.57047327266	-196.2906014788008	-46332.27987179386	0.09901084108342054	2.429386647548525	3.592758988321967	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46332.27987179386	-192.95706523583493
113000	-46516.03180120237	-196.86004428552639	-46319.17175691685	0.1007355288254131	2.748410341501634	3.592758988321967	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46319.17175691685	-193.40312417273338
114000	-46516.91238336116	-198.9603554582899	-46317.95202790287	0.10287015057923618	3.244466102887858	3.592758988321967	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46317.95202790287	-195.33750722493653
115000	-46514.864281527014	-198.0789327627165	-46316.7853487643	0.10332413555713192	2.4482235414203912	3.592758988321967	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46316.7853487643	-194.73767266040574
116000	-46515.87816135215	-197.46257728716836	-46318.415584064984	0.10039889549575487	2.4179988460411788	3.564586675154417	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46318.415584064984	-194.14299735569247
117000	-46523.74007208139	-197.30094896301156	-46326.439123118376	0.1039309174428595	2.5039018365928287	3.564586675154417	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46326.439123118376	-193.9464590566605
118000	-46505.49950173459	-198.66152336316807	-46306.83797837142	0.10815565390357466	2.5431723642592035	3.564586675154417	0.3511641084088704	0.19043731672249775	0.23192112494844586	0.22647744992018604	1.0	-46306.83797837142	-195.29147144261518
